iter	Passed	Remaining
0	150	150275
1	152	75975
2	154	51278
3	156	38868
4	160	31934
5	162	27000
6	164	23349
7	166	20618
8	168	18505
9	169	16805
10	171	15418
11	175	14455
12	177	13497
13	179	12647
14	181	11913
15	183	11259
16	184	10686
17	186	10172
18	191	9876
19	193	9482
20	195	9115
21	197	8789
22	199	8482
23	201	8198
24	206	8039
25	209	7831
26	211	7609
27	213	7396
28	214	7191
29	216	7007
30	219	6850
31	222	6719
32	224	6565
33	225	6412
34	227	6270
35	228	6129
36	230	5997
37	232	5887
38	236	5821
39	238	5720
40	240	5614
41	241	5514
42	243	5418
43	245	5327
44	246	5235
45	251	5215
46	253	5136
47	255	5057
48	257	4996
49	259	4933
50	261	4872
51	270	4924
52	272	4860
53	273	4797
54	275	4740
55	277	4683
56	280	4636
57	282	4587
58	284	4533
59	286	4485
60	287	4432
61	289	4386
62	291	4340
63	301	4409
64	303	4362
65	304	4315
66	306	4274
67	310	4248
68	312	4213
69	314	4174
70	316	4145
71	318	4109
72	320	4072
73	322	4034
74	324	4005
75	326	3968
76	328	3935
77	331	3914
78	332	3879
79	334	3846
80	336	3814
81	337	3783
82	339	3748
83	341	3724
84	343	3702
85	345	3673
86	347	3646
87	349	3624
88	351	3598
89	353	3577
90	355	3553
91	357	3533
92	360	3516
93	362	3491
94	363	3467
95	365	3444
96	367	3422
97	369	3399
98	373	3395
99	377	3393
100	379	3379
101	381	3360
102	384	3346
103	386	3326
104	388	3308
105	390	3290
106	392	3271
107	393	3252
108	396	3238
109	398	3225
110	400	3207
111	402	3188
112	404	3172
113	405	3154
114	407	3138
115	409	3122
116	411	3104
117	413	3091
118	415	3076
119	418	3067
120	420	3057
121	422	3038
122	424	3024
123	425	3009
124	428	2997
125	430	2984
126	431	2968
127	433	2956
128	435	2940
129	437	2926
130	438	2911
131	440	2895
132	441	2880
133	444	2872
134	446	2859
135	447	2845
136	449	2831
137	451	2818
138	452	2804
139	454	2791
140	456	2779
141	457	2762
142	459	2752
143	461	2741
144	462	2729
145	464	2717
146	466	2705
147	468	2694
148	469	2682
149	471	2670
150	473	2661
151	475	2651
152	477	2641
153	478	2629
154	480	2619
155	482	2609
156	483	2598
157	485	2587
158	487	2580
159	490	2574
160	491	2562
161	493	2551
162	494	2541
163	496	2531
164	498	2521
165	499	2511
166	501	2501
167	507	2512
168	509	2506
169	511	2498
170	513	2489
171	515	2481
172	519	2484
173	522	2478
174	524	2470
175	525	2461
176	527	2453
177	529	2442
178	530	2433
179	534	2434
180	536	2427
181	538	2418
182	539	2410
183	541	2401
184	543	2395
185	545	2386
186	551	2396
187	553	2390
188	555	2382
189	556	2373
190	558	2367
191	560	2359
192	566	2367
193	568	2362
194	570	2355
195	572	2349
196	575	2343
197	577	2337
198	579	2334
199	582	2328
200	583	2321
201	586	2316
202	588	2309
203	590	2302
204	595	2307
205	597	2302
206	599	2295
207	601	2289
208	603	2284
209	605	2276
210	607	2270
211	609	2266
212	611	2261
213	613	2254
214	615	2247
215	618	2244
216	620	2240
217	624	2239
218	627	2236
219	629	2231
220	631	2227
221	634	2222
222	636	2216
223	638	2212
224	641	2207
225	643	2204
226	646	2201
227	648	2196
228	650	2190
229	658	2203
230	662	2203
231	664	2199
232	667	2197
233	672	2202
234	676	2200
235	678	2196
236	680	2192
237	685	2195
238	689	2194
239	691	2190
240	694	2185
241	696	2180
242	701	2184
243	703	2180
244	705	2175
245	707	2169
246	709	2164
247	711	2157
248	717	2165
249	720	2161
250	722	2156
251	724	2150
252	726	2145
253	730	2145
254	732	2141
255	735	2137
256	737	2132
257	739	2127
258	741	2122
259	744	2118
260	746	2113
261	748	2109
262	750	2104
263	752	2098
264	754	2092
265	756	2087
266	760	2088
267	762	2082
268	764	2076
269	765	2070
270	767	2065
271	769	2059
272	771	2055
273	774	2052
274	776	2047
275	778	2042
276	780	2038
277	782	2032
278	784	2027
279	786	2021
280	788	2017
281	790	2013
282	792	2007
283	793	2001
284	795	1995
285	797	1990
286	799	1985
287	800	1979
288	806	1982
289	808	1978
290	810	1973
291	812	1968
292	813	1963
293	815	1959
294	818	1955
295	821	1954
296	824	1951
297	826	1946
298	828	1942
299	830	1937
300	835	1939
301	837	1935
302	839	1932
303	842	1928
304	844	1924
305	846	1919
306	849	1918
307	851	1913
308	853	1909
309	855	1904
310	857	1900
311	859	1896
312	863	1896
313	866	1893
314	868	1888
315	871	1886
316	873	1882
317	875	1877
318	879	1878
319	881	1872
320	882	1865
321	883	1860
322	884	1853
323	885	1847
324	886	1841
325	887	1835
326	889	1829
327	890	1824
328	892	1820
329	893	1814
330	894	1808
331	897	1805
332	898	1799
333	900	1796
334	901	1789
335	902	1783
336	903	1777
337	904	1771
338	905	1766
339	906	1760
340	907	1754
341	909	1749
342	911	1746
343	913	1742
344	915	1739
345	918	1735
346	920	1731
347	922	1727
348	924	1723
349	926	1720
350	928	1716
351	930	1713
352	933	1710
353	935	1706
354	937	1703
355	939	1700
356	942	1696
357	945	1695
358	947	1691
359	949	1688
360	951	1684
361	954	1681
362	955	1677
363	958	1674
364	960	1671
365	963	1668
366	965	1664
367	967	1661
368	970	1658
369	971	1654
370	974	1652
371	977	1650
372	979	1647
373	984	1647
374	986	1644
375	989	1641
376	991	1638
377	993	1635
378	996	1632
379	998	1629
380	1001	1626
381	1003	1624
382	1006	1620
383	1009	1619
384	1014	1619
385	1016	1616
386	1018	1613
387	1021	1611
388	1024	1608
389	1026	1605
390	1028	1602
391	1031	1599
392	1035	1599
393	1037	1596
394	1039	1592
395	1041	1588
396	1043	1585
397	1046	1582
398	1048	1579
399	1050	1575
400	1052	1572
401	1054	1569
402	1056	1565
403	1058	1562
404	1061	1558
405	1063	1555
406	1065	1552
407	1067	1548
408	1068	1544
409	1070	1541
410	1073	1537
411	1075	1534
412	1077	1531
413	1079	1527
414	1081	1524
415	1083	1521
416	1085	1517
417	1087	1514
418	1089	1511
419	1091	1507
420	1094	1505
421	1096	1501
422	1098	1498
423	1100	1494
424	1102	1492
425	1104	1488
426	1108	1487
427	1111	1485
428	1113	1482
429	1116	1479
430	1119	1477
431	1126	1480
432	1128	1477
433	1130	1474
434	1133	1472
435	1136	1469
436	1139	1467
437	1141	1464
438	1142	1460
439	1144	1457
440	1148	1455
441	1150	1452
442	1155	1452
443	1157	1449
444	1159	1446
445	1162	1444
446	1164	1441
447	1167	1438
448	1169	1435
449	1172	1432
450	1173	1429
451	1175	1425
452	1178	1423
453	1180	1420
454	1185	1420
455	1187	1417
456	1190	1415
457	1193	1412
458	1195	1409
459	1198	1406
460	1200	1403
461	1202	1400
462	1204	1397
463	1206	1394
464	1209	1391
465	1211	1388
466	1213	1385
467	1216	1382
468	1218	1379
469	1220	1376
470	1222	1373
471	1224	1370
472	1226	1366
473	1228	1363
474	1231	1361
475	1233	1357
476	1235	1354
477	1237	1351
478	1240	1348
479	1242	1346
480	1245	1343
481	1247	1340
482	1249	1337
483	1251	1333
484	1253	1330
485	1255	1328
486	1259	1327
487	1262	1324
488	1265	1322
489	1268	1319
490	1270	1316
491	1272	1313
492	1274	1310
493	1277	1308
494	1280	1306
495	1283	1304
496	1286	1301
497	1288	1299
498	1293	1298
499	1295	1295
500	1298	1293
501	1301	1290
502	1305	1289
503	1306	1285
504	1307	1281
505	1308	1277
506	1309	1273
507	1311	1269
508	1312	1265
509	1313	1262
510	1315	1258
511	1316	1254
512	1317	1250
513	1318	1246
514	1319	1242
515	1320	1238
516	1321	1234
517	1322	1230
518	1324	1227
519	1325	1223
520	1326	1219
521	1327	1215
522	1328	1212
523	1330	1208
524	1332	1205
525	1333	1201
526	1334	1197
527	1335	1193
528	1336	1189
529	1337	1186
530	1338	1182
531	1339	1178
532	1341	1175
533	1344	1173
534	1346	1170
535	1349	1168
536	1352	1166
537	1355	1163
538	1358	1161
539	1361	1159
540	1364	1157
541	1367	1155
542	1370	1153
543	1373	1151
544	1376	1149
545	1379	1147
546	1382	1144
547	1386	1143
548	1389	1141
549	1391	1138
550	1395	1137
551	1399	1135
552	1405	1135
553	1408	1133
554	1411	1131
555	1422	1136
556	1426	1134
557	1428	1131
